year,worldPopulation,perCountryPopulationSum,totalGDPSum,totalStockpiles,totalTerritoryCells
-4730,12412791,12412791,63742.157840272026,9372771.5642049015,18168
-4729,12437787,12437787,64673.471071438704,9415612.3902296145,18172
-4728,12461751,12461751,64022.159543941299,9458640.0150464438,18174
-4727,12485776,12485776,64128.067490131594,9501769.7332421746,18175
-4726,12508742,12508742,64098.583175150772,9544882.0234149806,18175
-4725,12532455,12532455,64222.126191263793,9588096.7878813576,18177
-4724,12557055,12557055,65161.73976843898,9631410.268857494,18182
-4723,12582241,12582241,64434.001420961438,9674752.5595381781,18184
-4722,12607801,12607801,65317.34997278791,9718216.4960529432,18186
-4721,12633466,12633466,64712.820489736565,9761758.1224299967,18190
-4720,12660069,12660069,64763.080143101659,9805292.9071991462,18191
-4719,12682823,12682823,61414.602665731771,9845997.8383338768,18192
-4718,12701939,12701939,62460.364112402312,9886728.0717412531,18192
-4717,12723625,12723625,61769.364704470128,9927529.4982212875,18197
-4716,12745124,12745124,62484.486827157918,9968406.068628924,18201
-4715,12768743,12768743,61982.141607682672,10009333.990825523,18203
-4714,12793477,12793477,61821.819819282609,10050269.842811486,18205
-4713,12816685,12816685,62875.309727720836,10091348.548894634,18206
-4712,12842087,12842087,61803.938787261024,10132539.721564049,18208
-4711,12867044,12867044,62231.353754179298,10173823.653221261,18209
-4710,12892182,12892182,62082.423051081561,10215203.516506067,18213
-4709,12918108,12918108,62695.431978673376,10256752.867590033,18215
-4708,12946125,12946125,64478.415107306428,10298542.94109877,18220
-4707,12974348,12974348,63145.024113675063,10340363.993596766,18227
-4706,13002047,13002047,62795.724851521598,10382290.169413179,18233
-4705,13029797,13029797,63434.796599380068,10424381.574475894,18236
-4704,13059630,13059630,64258.29400757145,10466559.975119462,18238
-4703,13088852,13088852,63816.253382908857,10508828.553702604,18238
-4702,13117859,13117859,64523.157798167165,10551188.522404198,18240
-4701,13146125,13146125,64146.803665960375,10593674.610219186,18243
